GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
AC218998.2_FG003	AC218998.2_FG003	-	-	-	-	-	-	-	AT4G19890		Pentatricopeptide repeat (PPR-like) superfamily protein	-			
GRMZM5G856436	GRMZM5G856436	NP_001148915	-	-	-	-	-	protein yippee-like 	AT3G11230		Yippee family putative zinc-binding protein	-			
GRMZM2G078806	GRMZM2G078806	NP_001142446	-	-	-	-	-	hypothetical protein LOC100274637 	AT1G36070		Transducin/WD40 repeat-like superfamily protein	-			GO:GO:0005515
GRMZM2G129246	go1	NP_001146005	Chr7	5,528,435	5,532,236	go1	glycolate oxidase1	hypothetical protein LOC100279535 	AT3G14420		Aldolase-type TIM barrel family protein	-	1.1.3.15		GO:GO:0016491
GRMZM2G135476	GRMZM2G135476	NP_001140325	-	-	-	-	-	hypothetical protein LOC100272372 	AT4G31600		UDP-N-acetylglucosamine (UAA) transporter family	-			
GRMZM2G149330	GRMZM2G149330	-	-	-	-	-	-	-	AT1G27435			-			
GRMZM2G155242	lpa1	Q9FPK7	Chr1	25,282,951	25,287,161	lpa1	low phytic acid1	Inositol-3-phosphate synthase (MIP synthase)(EC 5.5.1.4)(Myo-inositol-1-phosphate synthase)(MI-1-P synthase)(IPS)	AT2G22240	ATIPS2,ATMIPS2,MIPS2	myo-inositol-1-phosphate synthase 2	-	5.5.1.4	K01858	GO:GO:0008654,GO:GO:0006021,GO:GO:0004512
GRMZM2G168506	GRMZM2G168506	NP_001132477	-	-	-	-	-	hypothetical protein LOC100193935 	AT3G28480		Oxoglutarate/iron-dependent oxygenase	-	1.14.11.2	K00472	GO:GO:0055114,GO:GO:0016491
GRMZM2G099255	GRMZM2G099255	C4J2T7	-	-	-	-	-	Putative uncharacterized protein 	AT2G19160		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-			GO:GO:0016020,GO:GO:0008375
GRMZM2G431309	gras75	NP_001147837	Chr2	208,500,828	208,504,903	gras75	GRAS-transcription factor 75	LOC100281447 	AT1G50600	SCL5	scarecrow-like 5	GRAS			
GRMZM2G122284	MEE16(Ara)	NP_001149313	-	-	-	-	-	RING-H2 finger protein ATL2C 	AT2G18650	MEE16	RING/U-box superfamily protein	-			GO:GO:0008270,GO:GO:0005515
GRMZM2G040920	GRMZM2G040920	-	-	-	-	-	-	-	AT4G31350		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-			GO:GO:0016020,GO:GO:0008375
