GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G410991	LYM2(Ara)	NP_001170126	-	-	-	-	-	hypothetical protein LOC100384051 	AT2G17120	LYM2	lysm domain GPI-anchored protein 2 precursor	-		K13473	
GRMZM2G000823	LOS4(Ara)	-	-	-	-	-	-	-	AT3G53110	LOS4	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	3.6.4.13	K18655	GO:GO:0005524,GO:GO:0003676
GRMZM2G425986	GRMZM2G425986	NP_001150481	-	-	-	-	-	A/G-specific adenine DNA glycosylase 	AT4G12740		HhH-GPD base excision DNA repair family protein	-			GO:GO:0006284
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G124207	GRMZM2G124207	-	-	-	-	-	-	-	AT2G29670		Tetratricopeptide repeat (TPR)-like superfamily protein	-			
GRMZM2G140594	GRMZM2G140594	NP_001143102	-	-	-	-	-	hypothetical protein LOC100275579 	AT5G48385		FRIGIDA-like protein	-			
GRMZM2G448446	GRMZM2G448446	NP_001140560	-	-	-	-	-	hypothetical protein LOC100272625 	AT4G15940		Fumarylacetoacetate (FAA) hydrolase family	-	3.7.1.5	K01557	GO:GO:0008152,GO:GO:0003824
GRMZM2G448927	HAC07,HAC7,HAG02,HAG2(Ara)	NM_001138146	-	-	-	-	-	hypothetical protein LOC100192970 (LOC100192970), mRNA	AT5G56740	HAC07,HAC7,HAG02,HAG2	histone acetyltransferase of the GNAT family 2	-	2.3.1.48		GO:GO:0016573,GO:GO:0006348,GO:GO:0005634,GO:GO:0004402
GRMZM2G417217	GRMZM2G417217	-	-	-	-	-	-	-				-			
GRMZM2G053299	umc2243	NP_001141313	Chr1	296,102,632	296,106,489	umc2243		hypothetical protein LOC100273404 	AT5G09810	ACT7	actin 7	-		K10355	
GRMZM2G167428	GRMZM2G167428	-	-	-	-	-	-	-	AT5G08720			-			
GRMZM2G167428	GRMZM2G167428	-	-	-	-	-	-	-	AT5G08720			-			
GRMZM2G119916	GRMZM2G119916	-	-	-	-	-	-	-	AT1G02160		Cox19 family protein (CHCH motif)	-			
GRMZM2G119916	GRMZM2G119916	-	-	-	-	-	-	-	AT1G02160		Cox19 family protein (CHCH motif)	-			
GRMZM2G040920	GRMZM2G040920	-	-	-	-	-	-	-	AT4G31350		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-			GO:GO:0016020,GO:GO:0008375
GRMZM2G168474	czog1	Q93XP7	Chr2	19,085,185	19,087,692	czog1	cis-zeatin O-glucosyltransferase1	Cis-zeatin O-glucosyltransferase 1 (cisZOG1)(EC 2.4.1.215)	AT2G15490	UGT73B4	UDP-glycosyltransferase 73B4	-	2.4.1.215	K13495	GO:GO:0016758,GO:GO:0008152
GRMZM2G431309	gras75	NP_001147837	Chr2	208,500,828	208,504,903	gras75	GRAS-transcription factor 75	LOC100281447 	AT1G50600	SCL5	scarecrow-like 5	GRAS			
GRMZM2G431309	gras75	NP_001147837	Chr2	208,500,828	208,504,903	gras75	GRAS-transcription factor 75	LOC100281447 	AT1G50600	SCL5	scarecrow-like 5	GRAS			
GRMZM2G431309	gras75	NP_001147837	Chr2	208,500,828	208,504,903	gras75	GRAS-transcription factor 75	LOC100281447 	AT1G50600	SCL5	scarecrow-like 5	GRAS			
GRMZM2G094955	sweet14a	NP_001132836	Chr2	223,375,329	223,377,937	sweet14a	sugars will eventually be exported transporter14a	hypothetical protein LOC100194326 	AT5G23660	MTN3	homolog of Medicago truncatula MTN3	-		K15382	
GRMZM2G149330	GRMZM2G149330	-	-	-	-	-	-	-	AT1G27435			-			
GRMZM2G045435	GRMZM2G045435	C4J217	-	-	-	-	-	Putative uncharacterized protein 	AT2G13290		beta-1,4-N-acetylglucosaminyltransferase family protein	-	2.4.1.144	K00737	GO:GO:0016020,GO:GO:0006487,GO:GO:0003830
GRMZM2G164165	GRMZM2G164165	NP_001167979	-	-	-	-	-	hypothetical protein LOC100381696 	AT3G07530			-		K13146	GO:GO:0032039,GO:GO:0016180
GRMZM5G845021	APK3(Ara)	NP_001131924	-	-	-	-	-	hypothetical protein LOC100193315 	AT3G03900	APK3	adenosine-5\'-phosphosulfate (APS) kinase 3	-	2.7.1.25	K00860	
GRMZM2G139894	mcm7	C4J0T7	Chr4	18,610,095	18,616,542	mcm7	minichromosome maintenance7	Putative uncharacterized protein 	AT1G44900	ATMCM2,MCM2	minichromosome maintenance (MCM2/3/5) family protein	-	3.6.4.12	K02540	GO:GO:0042555,GO:GO:0006270,GO:GO:0005634,GO:GO:0005524,GO:GO:0003678,GO:GO:0003677,GO:GO:0006260
GRMZM2G055135	LOL1(Ara)	NP_001151942	-	-	-	-	-	LOC100285579 	AT1G32540	LOL1	lsd one like 1	LSD			
GRMZM2G046804	gpc1	P08735	Chr4	36,912,994	36,917,779	gpc1	glyceraldehyde-3-phosphate dehydrogenase1	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 1 (EC 1.2.1.12)	AT3G04120	GAPC,GAPC-1,GAPC1	glyceraldehyde-3-phosphate dehydrogenase C subunit 1	-	1.2.1.12	K00134	GO:GO:0055114,GO:GO:0016620
GRMZM2G046804	gpc1	P08735	Chr4	36,912,994	36,917,779	gpc1	glyceraldehyde-3-phosphate dehydrogenase1	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 1 (EC 1.2.1.12)	AT3G04120	GAPC,GAPC-1,GAPC1	glyceraldehyde-3-phosphate dehydrogenase C subunit 1	-	1.2.1.12	K00134	GO:GO:0055114,GO:GO:0016620
GRMZM2G046804	gpc1	P08735	Chr4	36,912,994	36,917,779	gpc1	glyceraldehyde-3-phosphate dehydrogenase1	Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 1 (EC 1.2.1.12)	AT3G04120	GAPC,GAPC-1,GAPC1	glyceraldehyde-3-phosphate dehydrogenase C subunit 1	-	1.2.1.12	K00134	GO:GO:0055114,GO:GO:0016620
GRMZM2G063850	GRMZM2G063850	C4J4W3	-	-	-	-	-	Putative uncharacterized protein 	AT1G62740		stress-inducible protein, putative	-		K09553	GO:GO:0005515
GRMZM2G054012	GRMZM2G054012	NP_001150550	-	-	-	-	-	LOC100284182 	AT4G29390		Ribosomal protein S30 family protein	-		K02983	GO:GO:0006412,GO:GO:0005840,GO:GO:0005622,GO:GO:0003735
