gene_name	source	accession	description
GRMZM2G344993	RefSeq peptide	NP_001142122	hypothetical protein LOC100274286 
AC194389.3_FG001	RefSeq peptide	NP_001147984	LOC100281593 
GRMZM2G064804	RefSeq peptide	NP_001168896	hypothetical protein LOC100382702 
GRMZM5G840658	UniProtKB/TrEMBL	C4J5B1	Putative uncharacterized protein 
GRMZM2G517435	RefSeq peptide	YP_588322	hypothetical protein ZeamMp059 
GRMZM5G892029	RefSeq peptide	YP_588410	hypothetical protein ZeamMp165 
GRMZM5G826972	RefSeq peptide	YP_588411	hypothetical protein ZeamMp166 
GRMZM5G874109	UniProtKB/TrEMBL	C4J0L7	Putative uncharacterized protein 
GRMZM5G827945	UniProtKB/TrEMBL	C0P703	Putative uncharacterized protein 
GRMZM5G892742	RefSeq peptide	NP_001140574	hypothetical protein LOC100272643 
GRMZM2G574782	UniProtKB/Swiss-Prot	B4G0F3	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 [Includes Methylthioribulose-1-phosphate dehydratase(MTRu-1-P dehydratase)(EC 4.2.1.109);Enolase-phosphatase E1(EC 3.1.3.77)(2,3-diketo-5-methylthio-1-phosphopentane phosphatase)]
GRMZM2G139880	RefSeq peptide	NP_001152378	bifunctional dihydrofolate reductase-thymidylate synthase 
GRMZM5G865508	RefSeq peptide	NP_001152415	MYND finger family protein 
GRMZM5G844096	RefSeq peptide	NP_001168927	hypothetical protein LOC100382739 
AC204611.4_FG001	RefSeq peptide	NP_001168008	hypothetical protein LOC100381730 
GRMZM5G812793	RefSeq peptide	NP_001144373	hypothetical protein LOC100277296 
GRMZM5G892991	UniProtKB/TrEMBL	D0EYF3	Ragged seedling 2 
GRMZM2G032423	RefSeq peptide	NP_001145950	hypothetical protein LOC100279474 
GRMZM5G883985	RefSeq DNA	NM_001156010	pollen-specific arabinogalacta protein BAN102 (LOC100283108), mRNA
GRMZM2G395842	RefSeq peptide	NP_001169041	hypothetical protein LOC100382879 
GRMZM5G834691	UniProtKB/TrEMBL	C4J483	Putative uncharacterized protein 
GRMZM2G114710	RefSeq DNA	NM_001174642	hypothetical protein LOC100381855 (LOC100381855), mRNA
GRMZM2G469920	UniProtKB/TrEMBL	C4JBQ4	Putative uncharacterized protein 
GRMZM5G809087	UniProtKB/TrEMBL	C0PAI1	Putative uncharacterized protein 
GRMZM2G147335	RefSeq peptide	NP_001136977	hypothetical protein LOC100217137 
GRMZM2G086902	UniProtKB/TrEMBL	C4J654	Putative uncharacterized protein 
GRMZM2G333140	RefSeq peptide	NP_001167843	hypothetical protein LOC100381544 
GRMZM2G039074	RefSeq peptide	NP_001136686	hypothetical protein LOC100216818 
GRMZM2G112672	RefSeq peptide	NP_001149178	calcineurin B-like protein 3 
GRMZM2G172584	RefSeq peptide	NP_001131791	hypothetical protein LOC100193162 
GRMZM5G837289	UniProtKB/TrEMBL	B4FX38	Putative uncharacterized protein 
GRMZM2G074024	RefSeq peptide	NP_001159191	hypothetical protein LOC100304276 
GRMZM2G156983	RefSeq peptide	NP_001150623	phosphatidate cytidylyltransferase 
GRMZM2G383408	RefSeq peptide	NP_001130980	hypothetical protein LOC100192085 
GRMZM5G869850	UniProtKB/TrEMBL	C4J4R2	Putative uncharacterized protein 
GRMZM5G858373	RefSeq DNA	NM_001138065	hypothetical protein LOC100192877 (LOC100192877), mRNA
GRMZM2G029087	RefSeq peptide	NP_001140860	hypothetical protein LOC100272936 
GRMZM5G825241	UniProtKB/TrEMBL	C4J1H3	Putative uncharacterized protein 
GRMZM5G856929	RefSeq peptide	NP_001143047	hypothetical protein LOC100275515 
GRMZM5G823135	RefSeq peptide	NP_001158973	hypothetical protein LOC100303924 
GRMZM5G871936	RefSeq peptide	NP_001132292	hypothetical protein LOC100193732 
GRMZM5G806227	UniProtKB/TrEMBL	C4J023	Putative uncharacterized protein 
GRMZM5G818433	UniProtKB/TrEMBL	C4J1B0	Putative uncharacterized protein 
GRMZM5G818717	UniProtKB/TrEMBL	C4J7E8	Putative uncharacterized protein 
GRMZM2G146786	RefSeq peptide	NP_001144006	hypothetical protein LOC100276825 
GRMZM2G135904	RefSeq DNA	NM_001158841	LOC100285952 (cl9707_1a), mRNA
GRMZM2G149272	RefSeq peptide	NP_001140515	hypothetical protein LOC100272578 
AC204212.4_FG001	RefSeq peptide	NP_001151347	SANT/MYB protein 
GRMZM5G882280	UniProtKB/TrEMBL	C4J7B8	Putative uncharacterized protein 
GRMZM5G809562	UniProtKB/TrEMBL	C4J184	Putative uncharacterized protein 
GRMZM5G885710	RefSeq DNA	NM_001137847	hypothetical protein LOC100192633 (LOC100192633), mRNA
GRMZM5G883545	RefSeq peptide	NP_001167977	hypothetical protein LOC100381694 
GRMZM2G058407	RefSeq peptide	NP_001136539	hypothetical protein LOC100216656 
GRMZM2G136389	RefSeq peptide	NP_001141650	hypothetical protein LOC100273775 
GRMZM5G830874	RefSeq peptide	NP_001143971	hypothetical protein LOC100276788 
GRMZM2G138861	RefSeq peptide	NP_001149657	serine/threonine-protein kinase SAPK8 
GRMZM2G124540	RefSeq peptide	NP_001149103	DNA binding protein 
GRMZM5G892361	RefSeq peptide	NP_001170067	hypothetical protein LOC100383983 
GRMZM5G892081	UniProtKB/TrEMBL	C4J0W7	Putative uncharacterized protein 
GRMZM5G897755	RefSeq peptide	YP_740422	NADH dehydrogenase subunit 6 
GRMZM5G836544	RefSeq peptide	YP_588428	hypothetical protein ZeamMp184 
GRMZM5G872234	RefSeq peptide	YP_588427	hypothetical protein ZeamMp183 
GRMZM5G893089	RefSeq peptide	YP_588425	hypothetical protein ZeamMp181 
GRMZM5G834282	RefSeq peptide	YP_588424	hypothetical protein ZeamMp180 
GRMZM5G862955	UniProtKB/Swiss-Prot	P00412	Cytochrome c oxidase subunit 2 (EC 1.9.3.1)(Cytochrome c oxidase polypeptide II)
GRMZM5G859187	RefSeq peptide	YP_588422	hypothetical protein ZeamMp177 
GRMZM5G861390	UniProtKB/Swiss-Prot	P05494	ATP synthase subunit alpha, mitochondrial 
GRMZM5G844030	RefSeq peptide	YP_588419	hypothetical protein ZeamMp174 
GRMZM5G804671	RefSeq peptide	YP_588418	hypothetical protein ZeamMp173 
GRMZM5G899452	RefSeq peptide	YP_588417	hypothetical protein ZeamMp172 
GRMZM5G847102	RefSeq peptide	YP_588416	hypothetical protein ZeamMp171 
GRMZM5G821527	RefSeq peptide	YP_588415	hypothetical protein X 
