GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G350626	ACYB-1,CYB-1(Ara)	NP_001168255	-	-	-	-	-	hypothetical protein LOC100382018 	AT5G38630	ACYB-1,CYB-1	cytochrome B561-1	-	1.16.5.1		GO:GO:0016021
GRMZM2G105167	GRMZM2G105167	NM_001150835	-	-	-	-	-	hypothetical protein LOC100277198 (LOC100277198), mRNA	AT2G25310		Protein of unknown function (DUF2012)	-			
GRMZM2G079638	GRMZM2G079638	NP_001158901	-	-	-	-	-	hypothetical protein LOC100303795 				-			
GRMZM2G176638	GRMZM2G176638	-	-	-	-	-	-	-	AT1G67340		HCP-like superfamily protein with MYND-type zinc finger	-			
GRMZM2G158147	APS2,ASA1(Ara)	NP_001147427	-	-	-	-	-	bifunctional 3-phosphoadenosine 5-phosphosulfate synthetase 2 	AT1G19920	APS2,ASA1	Pseudouridine synthase/archaeosine transglycosylase-like family protein	-	2.7.7.4	K13811	GO:GO:0004781
GRMZM2G324540	pco093291	NP_001130751	Chr5	30,760,520	30,770,795	pco093291		hypothetical protein LOC100191855 	AT1G04510	MAC3A	MOS4-associated  complex 3A	-		K10599	GO:GO:0005515
AC212835.3_FG002	AC212835.3_FG002	NP_001149787	-	-	-	-	-	blue copper protein 	AT5G07475		Cupredoxin superfamily protein	-			GO:GO:0009055
GRMZM2G166855	HAP6(Ara)	NP_001146350	-	-	-	-	-	hypothetical protein LOC100279928 	AT4G21150	HAP6	ribophorin II (RPN2) family protein	-	2.4.99.18	K12667	GO:GO:0016021,GO:GO:0008250,GO:GO:0006487
GRMZM2G112072	MAD2(Ara)	NP_001144620	-	-	-	-	-	hypothetical protein LOC100277636 	AT3G25980	MAD2	DNA-binding HORMA family protein	-			GO:GO:0007094
GRMZM2G119261	mybr114	NP_001145692	Chr2	113,806,626	113,816,795	mybr114	MYB-related-transcription factor 114	hypothetical protein LOC100279196 	AT4G34430	ATSWI3D,CHB3	DNA-binding family protein	-		K11649	GO:GO:0008270,GO:GO:0005515
GRMZM2G102000	GRMZM2G102000	-	-	-	-	-	-	-	AT2G32730		26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	-		K03032	
