GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
AC190623.3_FG001	PSBW(Ara)	NP_001150186	-	-	-	-	-	LOC100283816 	AT2G30570	PSBW	photosystem II reaction center W	-		K02721	GO:GO:0015979,GO:GO:0009523,GO:GO:0009507
GRMZM2G001421	FIN219,JAR1(Ara)	NP_001131914	-	-	-	-	-	hypothetical protein LOC100193303 	AT2G46370	FIN219,JAR1	Auxin-responsive GH3 family protein	-		K14506,K14487	
GRMZM2G006716	GRMZM2G006716	-	-	-	-	-	-	-	AT5G06570		alpha/beta-Hydrolases superfamily protein	-	3.1.1.1		
GRMZM2G009320	GRMZM2G009320	NP_001145048	-	-	-	-	-	hypothetical protein LOC100278234 	AT2G04039			-			
GRMZM2G012143	GRMZM2G012143	NP_001170584	-	-	-	-	-	hypothetical protein LOC100384615 	AT3G54690		Sugar isomerase (SIS) family protein	-	5.3.1.13	K06041	GO:GO:0030246,GO:GO:0005975
GRMZM2G012148	GRMZM2G012148	NP_001151734	-	-	-	-	-	LOC100285369 	AT3G22600		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-			
GRMZM2G018612	CYP711A1,MAX1(Ara)	NP_001141485	-	-	-	-	-	hypothetical protein LOC100273597 	AT2G26170	CYP711A1,MAX1	cytochrome P450, family 711, subfamily A, polypeptide 1	-	5.3.99.5		GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506
GRMZM2G019686	ATFPF1,FPF1(Ara)	NP_001150372	-	-	-	-	-	LOC100284002 	AT5G24860	ATFPF1,FPF1	flowering promoting factor 1	-			
GRMZM2G020320	ATGPAT6,GPAT6(Ara)	NP_001147442	-	-	-	-	-	glycerol-3-phosphate acyltransferase 8 	AT2G38110	ATGPAT6,GPAT6	glycerol-3-phosphate acyltransferase 6	-	2.3.1.198,2.3.1.15	K13508	GO:GO:0016746,GO:GO:0008152
GRMZM2G022248	ATGRXCP,CXIP1(Ara)	NP_001150539	-	-	-	-	-	Grx_S14 - glutaredoxin subgroup II 	AT3G54900	ATGRXCP,CXIP1	CAX interacting protein 1	-	1.8.1.9	K07390	GO:GO:0045454,GO:GO:0015035,GO:GO:0009055
