GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G060886	AtPMEAMT,PMEAMT(Ara)	NP_001148925	-	-	-	-	-	LOC100282545 	AT1G48600	AtPMEAMT,PMEAMT	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-	2.1.1.103		GO:GO:0008168,GO:GO:0008152
GRMZM2G131152	TBL26(Ara)	NP_001131156	-	-	-	-	-	hypothetical protein LOC100192464 	AT4G01080	TBL26	TRICHOME BIREFRINGENCE-LIKE 26	-			
GRMZM2G144028	GRMZM2G144028	NP_001141425	-	-	-	-	-	hypothetical protein LOC100273535 	AT1G18390		Protein kinase superfamily protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G144021	GRMZM2G144021	NP_001151953	-	-	-	-	-	esterase/lipase/thioesterase 	AT5G38220		alpha/beta-Hydrolases superfamily protein	-			
GRMZM2G050270	GRMZM2G050270	NP_001150503	-	-	-	-	-	3-N-debenzoyl-2-deoxytaxol N-benzoyltransferase 	AT3G62160		HXXXD-type acyl-transferase family protein	-			GO:GO:0016747
GRMZM2G151195	GRMZM2G151195	-	-	-	-	-	-	-	AT3G58050			-			
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G153378	GRMZM2G153378	NP_001142493	-	-	-	-	-	hypothetical protein LOC100274721 				-			
GRMZM2G130773	mterf9	NM_001158832	Chr2	208,493,066	208,496,996	mterf9	mTERF-domain protein9	mTERF family protein (LOC100285943), mRNA	AT5G55580		Mitochondrial transcription termination factor family protein	-		K15032	GO:GO:0006355,GO:GO:0005739,GO:GO:0003690
GRMZM2G319781	GRMZM2G319781	-	-	-	-	-	-	-				-			GO:GO:0006810,GO:GO:0005622
GRMZM2G166297	prh4	-	Chr8	168,030,486	168,032,471	prh4	protein phosphatase homolog4	-	AT1G07430	HAI2	highly ABA-induced PP2C gene 2	-	3.1.3.16	K14497	GO:GO:0003824,GO:GO:0006470,GO:GO:0004722
GRMZM2G166719	GRMZM2G166719	-	-	-	-	-	-	-	AT1G33260		Protein kinase superfamily protein	-	2.7.11.1,2.7.10.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G428391	ATHSP70,HSP70(Ara)	NP_001148198	-	-	-	-	-	heat shock cognate 70 kDa protein 2 	AT3G12580	ATHSP70,HSP70	heat shock protein 70	-		K03283	
GRMZM2G168917	GRMZM2G168917	B6TE49	-	-	-	-	-	Leucine-rich repeat receptor protein kinase EXS 	AT1G33260		Protein kinase superfamily protein	-	2.7.11.1,2.7.10.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G033007	GRMZM2G033007	-	-	-	-	-	-	-	AT5G61310		Cytochrome c oxidase subunit Vc family protein	-			
GRMZM2G360219	GRMZM2G360219	-	-	-	-	-	-	-	AT3G47570		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0005515
GRMZM2G018251	FEY,FEY3(Ara)	NP_001150950	-	-	-	-	-	WW domain-containing oxidoreductase 	AT4G27760	FEY,FEY3	NAD(P)-binding Rossmann-fold superfamily protein	-	1.1.1.300		
