GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G087186	pdc3	Q05327	Chr1	45,517,324	45,520,500	pdc3	pyruvate decarboxylase3	Pyruvate decarboxylase isozyme 3 Fragment (PDC)(EC 4.1.1.1)	AT4G33070		Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	-	4.1.1.1	K01568	GO:GO:0030976,GO:GO:0003824,GO:GO:0000287
GRMZM2G087186	pdc3	Q05327	Chr1	45,517,324	45,520,500	pdc3	pyruvate decarboxylase3	Pyruvate decarboxylase isozyme 3 Fragment (PDC)(EC 4.1.1.1)	AT4G33070		Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	-	4.1.1.1	K01568	GO:GO:0030976,GO:GO:0003824,GO:GO:0000287
GRMZM2G075502	GRMZM2G075502	-	-	-	-	-	-	-	AT5G03380		Heavy metal transport/detoxification superfamily protein 	-			GO:GO:0046872,GO:GO:0030001
GRMZM2G075502	GRMZM2G075502	-	-	-	-	-	-	-	AT5G03380		Heavy metal transport/detoxification superfamily protein 	-			GO:GO:0046872,GO:GO:0030001
GRMZM2G075502	GRMZM2G075502	-	-	-	-	-	-	-	AT5G03380		Heavy metal transport/detoxification superfamily protein 	-			GO:GO:0046872,GO:GO:0030001
GRMZM2G075042	GRMZM2G075042	NP_001145605	-	-	-	-	-	hypothetical protein LOC100279083 				-			
GRMZM2G131723	GRMZM2G131723	NP_001137053	-	-	-	-	-	hypothetical protein LOC100217225 	AT2G45530		RING/U-box superfamily protein	-			GO:GO:0008270
GRMZM2G028500	GRMZM2G028500	NP_001142814	-	-	-	-	-	hypothetical protein LOC100275193 	AT4G39235			-			
GRMZM2G073508	GRMZM2G073508	B6UCB4	-	-	-	-	-	Putative uncharacterized protein 				-			
GRMZM2G073508	GRMZM2G073508	B6UCB4	-	-	-	-	-	Putative uncharacterized protein 				-			
GRMZM2G081943	GRMZM2G081943	NP_001131986	-	-	-	-	-	hypothetical protein LOC100193385 	AT1G55340		Protein of unknown function (DUF1639)	-			
GRMZM2G156937	PTAC13(Ara)	NP_001151355	-	-	-	-	-	transcription termination factor nusG family protein 	AT3G09210	PTAC13	plastid transcriptionally active 13	-			GO:GO:0006355
GRMZM2G167428	GRMZM2G167428	-	-	-	-	-	-	-	AT5G08720			-			
GRMZM2G167428	GRMZM2G167428	-	-	-	-	-	-	-	AT5G08720			-			
GRMZM2G016738	GRMZM2G016738	-	-	-	-	-	-	-				-			
GRMZM2G102000	GRMZM2G102000	-	-	-	-	-	-	-	AT2G32730		26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit	-		K03032	
GRMZM2G040920	GRMZM2G040920	-	-	-	-	-	-	-	AT4G31350		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-			GO:GO:0016020,GO:GO:0008375
GRMZM5G851032	GRMZM5G851032	-	-	-	-	-	-	-	AT5G43150			-			
GRMZM2G076204	GAMMA-SNAP,GSNAP(Ara)	-	-	-	-	-	-	-	AT4G20410	GAMMA-SNAP,GSNAP	gamma-soluble NSF attachment protein	-			GO:GO:0006886
GRMZM2G366150	GRMZM2G366150	NP_001141453	-	-	-	-	-	hypothetical protein LOC100273563 	AT1G15740		Leucine-rich repeat family protein	-			GO:GO:0005515
GRMZM2G112072	MAD2(Ara)	NP_001144620	-	-	-	-	-	hypothetical protein LOC100277636 	AT3G25980	MAD2	DNA-binding HORMA family protein	-			GO:GO:0007094
GRMZM2G065157	GRMZM2G065157	NP_001142653	-	-	-	-	-	hypothetical protein LOC100274938 				-			
GRMZM2G106213	agp1	NP_001105178	Chr2	174,023,583	174,034,507	agp1	ADP glucose pyrophosphorylase small subunit embryo 1	ADP-glucose pyrophosphorylase small subunit 	AT5G48300	ADG1,APS1	ADP glucose pyrophosphorylase  1	-	2.7.7.27	K00975	GO:GO:0016779,GO:GO:0009058
GRMZM2G106213	agp1	NP_001105178	Chr2	174,023,583	174,034,507	agp1	ADP glucose pyrophosphorylase small subunit embryo 1	ADP-glucose pyrophosphorylase small subunit 	AT5G48300	ADG1,APS1	ADP glucose pyrophosphorylase  1	-	2.7.7.27	K00975	GO:GO:0016779,GO:GO:0009058
GRMZM2G060161	GRMZM2G060161	-	-	-	-	-	-	-				-			
GRMZM2G098859	GRMZM2G098859	-	-	-	-	-	-	-	AT3G14172			-			
GRMZM2G098859	GRMZM2G098859	-	-	-	-	-	-	-	AT3G14172			-			
GRMZM2G163996	GRMZM2G163996	NP_001148392	-	-	-	-	-	HESB-like domain-containing protein 2 	AT2G16710		Iron-sulphur cluster biosynthesis family protein	-		K13628	
GRMZM2G106906	GRMZM2G106906	NP_001143919	-	-	-	-	-	hypothetical protein LOC100276729 	AT3G62580		Late embryogenesis abundant protein (LEA) family protein	-			
