GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G174615	GRMZM2G174615	NP_001145314	-	-	-	-	-	hypothetical protein LOC100278628 	AT4G11000		Ankyrin repeat family protein	-			
GRMZM2G116010	PIP5K4(Ara)	-	-	-	-	-	-	-	AT3G56960	PIP5K4	phosphatidyl inositol monophosphate 5 kinase 4	-	2.7.1.68		GO:GO:0046488,GO:GO:0016307
GRMZM2G108523	GRMZM2G108523	-	-	-	-	-	-	-				-			
GRMZM2G577677	MSRB2(Ara)	NP_001148386	-	-	-	-	-	LOC100281999 	AT4G21860	MSRB2	methionine sulfoxide reductase B 2	-	1.8.4.12	K07305	GO:GO:0055114,GO:GO:0033743,GO:GO:0030091,GO:GO:0016671,GO:GO:0006979
GRMZM2G577677	MSRB2(Ara)	NP_001148386	-	-	-	-	-	LOC100281999 	AT4G21860	MSRB2	methionine sulfoxide reductase B 2	-	1.8.4.12	K07305	GO:GO:0055114,GO:GO:0033743,GO:GO:0030091,GO:GO:0016671,GO:GO:0006979
GRMZM2G044902	lbd6	NP_001131814	Chr1	77,152,675	77,154,117	lbd6	LBD-transcription factor 6	hypothetical protein LOC100193187 	AT5G67420	ASL39,LBD37	LOB domain-containing protein 37	LBD			
GRMZM2G428555	myb78	NM_001148280	Chr1	213,582,734	213,586,180	myb78	MYB-transcription factor 78	hypothetical protein LOC100273887 (LOC100273887), mRNA	AT1G69560	ATMYB105,LOF2,MYB105	myb domain protein 105	MYB		K09422	
GRMZM2G428555	myb78	NM_001148280	Chr1	213,582,734	213,586,180	myb78	MYB-transcription factor 78	hypothetical protein LOC100273887 (LOC100273887), mRNA	AT1G69560	ATMYB105,LOF2,MYB105	myb domain protein 105	MYB		K09422	
GRMZM2G428555	myb78	NM_001148280	Chr1	213,582,734	213,586,180	myb78	MYB-transcription factor 78	hypothetical protein LOC100273887 (LOC100273887), mRNA	AT1G69560	ATMYB105,LOF2,MYB105	myb domain protein 105	MYB		K09422	
GRMZM2G428555	myb78	NM_001148280	Chr1	213,582,734	213,586,180	myb78	MYB-transcription factor 78	hypothetical protein LOC100273887 (LOC100273887), mRNA	AT1G69560	ATMYB105,LOF2,MYB105	myb domain protein 105	MYB		K09422	
GRMZM2G428555	myb78	NM_001148280	Chr1	213,582,734	213,586,180	myb78	MYB-transcription factor 78	hypothetical protein LOC100273887 (LOC100273887), mRNA	AT1G69560	ATMYB105,LOF2,MYB105	myb domain protein 105	MYB		K09422	
AC217050.4_FG001	AC217050.4_FG001	-	-	-	-	-	-	-	AT5G16040		Regulator of chromosome condensation (RCC1) family protein	-			
